Total CPU,Total GPU,Total Memory
34.50833333,8,14.23831059
33.39166667,8,16.20365993
36.33333333,8,20.90467166
34.425,16,19.65872204
35.79166667,22,23.11336634
35.34166667,14,30.44031121
33.85,9,30.44217346
35.60833333,0,30.42832599
35.28333333,58,29.24503616
34.825,16,26.94067459
34.95,4,24.00577583
31.91666667,6,28.28041691
32.81666667,6,29.13066326
34.54166667,4,29.14433166
34.18333333,35,28.08028522
36.05833333,24,25.96261375
35.20833333,4,23.62168771
35.15,2,21.06115996
35.025,14,20.74935323
35.34166667,18,22.94664762
35.86666667,7,23.12286856
34.63333333,3,24.88339479
35.15,8,27.65724514
33.275,2,27.64982003
34.11666667,8,25.85416183
30.425,5,24.05816938
32.68333333,3,26.31507951
35.525,3,28.56066097
34.65,11,27.82096755
34.45,7,26.53141035
32.1,3,24.50335347
29.65833333,5,26.96457341
30.275,4,29.4051057
34.06666667,12,29.41155194
32.43333333,8,27.18246806
32.10833333,4,27.18788767
34.36666667,21,26.21525838
32.88333333,4,27.73618763
34.81666667,2,30.50175338
35.09166667,8,30.49733651
34.625,2,28.09047982
34.95,22,26.88726635
35.275,18,31.7125352
35.21666667,2,30.07883267
35.025,3,37.79319621
34.83333333,3,37.78568755
34.75,2,37.77009721
35.21666667,12,37.77666282
35.29166667,8,36.11963447
34.75,0,32.8024382
35.54166667,0,31.14771378
35.41666667,0,31.14939697
35.40833333,5,34.44079635
33.85833333,37,37.71559072
34.75,33,37.35955566
35.73333333,48,37.70099119
34.88333333,28,37.70390393
34.7,7,36.05621068
35.74166667,3,31.96140759
35.29166667,2,31.17413141
35.46666667,4,31.10873794
34.825,12,30.99182236
34.76666667,6,39.59713902
31.7,8,39.58403168
30.28333333,18,39.56482429
35.41666667,22,39.56523016
35.15,2,39.5682384
33.85,5,37.77945619
34.69166667,4,34.1978927
35.65,7,31.69841318
34.88333333,11,31.22833946
34,2,30.03023523
33.46666667,6,28.30482904
35.34166667,7,25.35799281
35.075,10,25.48435093
34.89166667,0,27.8450693
34.175,3,26.71196459
35.21666667,4,27.32725764
35.55,4,30.46866271
34.70833333,2,31.73762777
35.025,0,33.60452879
35.41666667,0,32.44411115
35.28333333,0,30.12783598
35.675,2,31.73207684
34.9,2,33.74713381
35.09166667,3,33.75486929
35.4,2,35.34782924
34.88333333,8,34.00838536
34.9,1,31.35270403
36.125,12,29.53798169
35.73333333,0,32.9244869
35.475,12,33.2060799
